Key,Value
ethnicityfirst_dose16 - under 40_mixed_other,MXDOTHER_AGE16YR40YR_NVD1
ethnicityfirst_dose16 - under 40_mixed_white_african,MXDWHIBLKAFR_AGE16YR40YR_NVD1
ethnicityfirst_dose16 - under 40_mixed_white_asian,MXDWHIASN_AGE16YR40YR_NVD1
ethnicityfirst_dose16 - under 40_mixed_white_caribbean,MXDWHIBLKCAR_AGE16YR40YR_NVD1
ethnicityfirst_dose16 - under 40_non_other,UNMAPPABLE_AGE16YR40YR_NVD1
ethnicityfirst_dose16 - under 40_not_given_refused,NOTGIVPTREF_AGE16YR40YR_NVD1
ethnicityfirst_dose16 - under 40_not_recorded,NORECORD_AGE16YR40YR_NVD1
ethnicityfirst_dose16 - under 40_not_stated,NOTSTATED_AGE16YR40YR_NVD1
ethnicityfirst_dose16 - under 40_other,OTHER_AGE16YR40YR_NVD1
ethnicityfirst_dose16 - under 40_white_british,WHIBRIT_AGE16YR40YR_NVD1
ethnicityfirst_dose16 - under 40_white_irish,WHIIRISH_AGE16YR40YR_NVD1
ethnicityfirst_dose16 - under 40_white_other,WHIOTHER_AGE16YR40YR_NVD1
ethnicityfirst_dose40 - under 50_asian_indian,ASNINDIAN_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_asian_other,ASNOTHER_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_asian_pak,ASNPAK_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_black_african,BLKAFRIC_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_black_caribbean,BLKCARIB_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_black_other,BLKOTH_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_chinese,CHINESE_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_mixed_asian_bang,ASNBANG_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_mixed_other,MXDOTHER_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_mixed_white_african,MXDWHIBLKAFR_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_mixed_white_asian,MXDWHIASN_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_mixed_white_caribbean,MXDWHIBLKCAR_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_non_other,UNMAPPABLE_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_not_given_refused,NOTGIVPTREF_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_not_recorded,NORECORD_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_not_stated,NOTSTATED_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_other,OTHER_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_white_british,WHIBRIT_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_white_irish,WHIIRISH_AGE40YR50YR_NVD1
ethnicityfirst_dose40 - under 50_white_other,WHIOTHER_AGE40YR50YR_NVD1
ethnicityfirst_dose50 - under 65_asian_indian,ASNINDIAN_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_asian_other,ASNOTHER_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_asian_pak,ASNPAK_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_black_african,BLKAFRIC_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_black_caribbean,BLKCARIB_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_black_other,BLKOTH_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_chinese,CHINESE_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_mixed_asian_bang,ASNBANG_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_mixed_other,MXDOTHER_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_mixed_white_african,MXDWHIBLKAFR_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_mixed_white_asian,MXDWHIASN_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_mixed_white_caribbean,MXDWHIBLKCAR_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_non_other,UNMAPPABLE_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_not_given_refused,NOTGIVPTREF_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_not_recorded,NORECORD_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_not_stated,NOTSTATED_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_other,OTHER_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_white_british,WHIBRIT_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_white_irish,WHIIRISH_AGE50YR65YR_NVD1
ethnicityfirst_dose50 - under 65_white_other,WHIOTHER_AGE50YR65YR_NVD1
ethnicityfirst_dose65 plus_asian_indian,ASNINDIAN_AGE65PL_NVD1
ethnicityfirst_dose65 plus_asian_other,ASNOTHER_AGE65PL_NVD1
ethnicityfirst_dose65 plus_asian_pak,ASNPAK_AGE65PL_NVD1
ethnicityfirst_dose65 plus_black_african,BLKAFRIC_AGE65PL_NVD1
ethnicityfirst_dose65 plus_black_caribbean,BLKCARIB_AGE65PL_NVD1
ethnicityfirst_dose65 plus_black_other,BLKOTH_AGE65PL_NVD1
ethnicityfirst_dose65 plus_chinese,CHINESE_AGE65PL_NVD1
ethnicityfirst_dose65 plus_mixed_asian_bang,ASNBANG_AGE65PL_NVD1
ethnicityfirst_dose65 plus_mixed_other,MXDOTHER_AGE65PL_NVD1
ethnicityfirst_dose65 plus_mixed_white_african,MXDWHIBLKAFR_AGE65PL_NVD1
ethnicityfirst_dose65 plus_mixed_white_asian,MXDWHIASN_AGE65PL_NVD1
ethnicityfirst_dose65 plus_mixed_white_caribbean,MXDWHIBLKCAR_AGE65PL_NVD1
ethnicityfirst_dose65 plus_non_other,UNMAPPABLE_AGE65PL_NVD1
ethnicityfirst_dose65 plus_not_given_refused,NOTGIVPTREF_AGE65PL_NVD1
ethnicityfirst_dose65 plus_not_recorded,NORECORD_AGE65PL_NVD1
ethnicityfirst_dose65 plus_not_stated,NOTSTATED_AGE65PL_NVD1
ethnicityfirst_dose65 plus_other,OTHER_AGE65PL_NVD1
ethnicityfirst_dose65 plus_white_british,WHIBRIT_AGE65PL_NVD1
ethnicityfirst_dose65 plus_white_irish,WHIIRISH_AGE65PL_NVD1
ethnicityfirst_dose65 plus_white_other,WHIOTHER_AGE65PL_NVD1
ethnicitypopulation16 - under 40_asian_indian,ASNINDIAN_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_asian_other,ASNOTHER_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_asian_pak,ASNPAK_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_black_african,BLKAFRIC_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_black_caribbean,BLKCARIB_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_black_other,BLKOTH_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_chinese,CHINESE_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_mixed_asian_bang,ASNBANG_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_mixed_other,MXDOTHER_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_mixed_white_african,MXDWHIBLKAFR_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_mixed_white_asian,MXDWHIASN_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_mixed_white_caribbean,MXDWHIBLKCAR_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_non_other,UNMAPPABLE_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_not_given_refused,NOTGIVPTREF_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_not_recorded,NORECORD_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_not_stated,NOTSTATED_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_other,OTHER_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_white_british,WHIBRIT_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_white_irish,WHIIRISH_AGE16YR40YR_TP
ethnicitypopulation16 - under 40_white_other,WHIOTHER_AGE16YR40YR_TP
ethnicitypopulation40 - under 50_asian_indian,ASNINDIAN_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_asian_other,ASNOTHER_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_asian_pak,ASNPAK_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_black_african,BLKAFRIC_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_black_caribbean,BLKCARIB_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_black_other,BLKOTH_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_chinese,CHINESE_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_mixed_asian_bang,ASNBANG_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_mixed_other,MXDOTHER_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_mixed_white_african,MXDWHIBLKAFR_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_mixed_white_asian,MXDWHIASN_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_mixed_white_caribbean,MXDWHIBLKCAR_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_non_other,UNMAPPABLE_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_not_given_refused,NOTGIVPTREF_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_not_recorded,NORECORD_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_not_stated,NOTSTATED_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_other,OTHER_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_white_british,WHIBRIT_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_white_irish,WHIIRISH_AGE40YR50YR_TP
ethnicitypopulation40 - under 50_white_other,WHIOTHER_AGE40YR50YR_TP
ethnicitypopulation50 - under 65_asian_indian,ASNINDIAN_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_asian_other,ASNOTHER_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_asian_pak,ASNPAK_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_black_african,BLKAFRIC_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_black_caribbean,BLKCARIB_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_black_other,BLKOTH_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_chinese,CHINESE_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_mixed_asian_bang,ASNBANG_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_mixed_other,MXDOTHER_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_mixed_white_african,MXDWHIBLKAFR_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_mixed_white_asian,MXDWHIASN_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_mixed_white_caribbean,MXDWHIBLKCAR_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_non_other,UNMAPPABLE_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_not_given_refused,NOTGIVPTREF_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_not_recorded,NORECORD_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_not_stated,NOTSTATED_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_other,OTHER_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_white_british,WHIBRIT_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_white_irish,WHIIRISH_AGE50YR65YR_TP
ethnicitypopulation50 - under 65_white_other,WHIOTHER_AGE50YR65YR_TP
ethnicitypopulation65 plus_asian_indian,ASNINDIAN_AGE65PL_TP
ethnicitypopulation65 plus_asian_other,ASNOTHER_AGE65PL_TP
ethnicitypopulation65 plus_asian_pak,ASNPAK_AGE65PL_TP
ethnicitypopulation65 plus_black_african,BLKAFRIC_AGE65PL_TP
ethnicitypopulation65 plus_black_caribbean,BLKCARIB_AGE65PL_TP
ethnicitypopulation65 plus_black_other,BLKOTH_AGE65PL_TP
ethnicitypopulation65 plus_chinese,CHINESE_AGE65PL_TP
ethnicitypopulation65 plus_mixed_asian_bang,ASNBANG_AGE65PL_TP
ethnicitypopulation65 plus_mixed_other,MXDOTHER_AGE65PL_TP
ethnicitypopulation65 plus_mixed_white_african,MXDWHIBLKAFR_AGE65PL_TP
ethnicitypopulation65 plus_mixed_white_asian,MXDWHIASN_AGE65PL_TP
ethnicitypopulation65 plus_mixed_white_caribbean,MXDWHIBLKCAR_AGE65PL_TP
ethnicitypopulation65 plus_non_other,UNMAPPABLE_AGE65PL_TP
ethnicitypopulation65 plus_not_given_refused,NOTGIVPTREF_AGE65PL_TP
ethnicitypopulation65 plus_not_recorded,NORECORD_AGE65PL_TP
ethnicitypopulation65 plus_not_stated,NOTSTATED_AGE65PL_TP
ethnicitypopulation65 plus_other,OTHER_AGE65PL_TP
ethnicitypopulation65 plus_white_british,WHIBRIT_AGE65PL_TP
ethnicitypopulation65 plus_white_irish,WHIIRISH_AGE65PL_TP
ethnicitypopulation65 plus_white_other,WHIOTHER_AGE65PL_TP
ethnicitysecond_dose16 - under 40_asian_indian,ASNINDIAN_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_asian_other,ASNOTHER_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_asian_pak,ASNPAK_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_black_african,BLKAFRIC_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_black_caribbean,BLKCARIB_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_black_other,BLKOTH_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_chinese,CHINESE_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_mixed_asian_bang,ASNBANG_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_mixed_other,MXDOTHER_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_mixed_white_african,MXDWHIBLKAFR_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_mixed_white_asian,MXDWHIASN_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_mixed_white_caribbean,MXDWHIBLKCAR_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_non_other,UNMAPPABLE_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_not_given_refused,NOTGIVPTREF_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_not_recorded,NORECORD_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_not_stated,NOTSTATED_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_other,OTHER_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_white_british,WHIBRIT_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_white_irish,WHIIRISH_AGE16YR40YR_NVD2
ethnicitysecond_dose16 - under 40_white_other,WHIOTHER_AGE16YR40YR_NVD2
ethnicitysecond_dose40 - under 50_asian_indian,ASNINDIAN_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_asian_other,ASNOTHER_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_asian_pak,ASNPAK_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_black_african,BLKAFRIC_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_black_caribbean,BLKCARIB_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_black_other,BLKOTH_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_chinese,CHINESE_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_mixed_asian_bang,ASNBANG_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_mixed_other,MXDOTHER_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_mixed_white_african,MXDWHIBLKAFR_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_mixed_white_asian,MXDWHIASN_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_mixed_white_caribbean,MXDWHIBLKCAR_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_non_other,UNMAPPABLE_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_not_given_refused,NOTGIVPTREF_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_not_recorded,NORECORD_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_not_stated,NOTSTATED_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_other,OTHER_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_white_british,WHIBRIT_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_white_irish,WHIIRISH_AGE40YR50YR_NVD2
ethnicitysecond_dose40 - under 50_white_other,WHIOTHER_AGE40YR50YR_NVD2
ethnicitysecond_dose50 - under 65_asian_indian,ASNINDIAN_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_asian_other,ASNOTHER_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_asian_pak,ASNPAK_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_black_african,BLKAFRIC_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_black_caribbean,BLKCARIB_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_black_other,BLKOTH_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_chinese,CHINESE_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_mixed_asian_bang,ASNBANG_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_mixed_other,MXDOTHER_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_mixed_white_african,MXDWHIBLKAFR_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_mixed_white_asian,MXDWHIASN_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_mixed_white_caribbean,MXDWHIBLKCAR_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_non_other,UNMAPPABLE_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_not_given_refused,NOTGIVPTREF_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_not_recorded,NORECORD_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_not_stated,NOTSTATED_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_other,OTHER_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_white_british,WHIBRIT_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_white_irish,WHIIRISH_AGE50YR65YR_NVD2
ethnicitysecond_dose50 - under 65_white_other,WHIOTHER_AGE50YR65YR_NVD2
ethnicitysecond_dose65 plus_asian_indian,ASNINDIAN_AGE65PL_NVD2
ethnicitysecond_dose65 plus_asian_other,ASNOTHER_AGE65PL_NVD2
ethnicitysecond_dose65 plus_asian_pak,ASNPAK_AGE65PL_NVD2
ethnicitysecond_dose65 plus_black_african,BLKAFRIC_AGE65PL_NVD2
ethnicitysecond_dose65 plus_black_caribbean,BLKCARIB_AGE65PL_NVD2
ethnicitysecond_dose65 plus_black_other,BLKOTH_AGE65PL_NVD2
ethnicitysecond_dose65 plus_chinese,CHINESE_AGE65PL_NVD2
ethnicitysecond_dose65 plus_mixed_asian_bang,ASNBANG_AGE65PL_NVD2
ethnicitysecond_dose65 plus_mixed_other,MXDOTHER_AGE65PL_NVD2
ethnicitysecond_dose65 plus_mixed_white_african,MXDWHIBLKAFR_AGE65PL_NVD2
ethnicitysecond_dose65 plus_mixed_white_asian,MXDWHIASN_AGE65PL_NVD2
ethnicitysecond_dose65 plus_mixed_white_caribbean,MXDWHIBLKCAR_AGE65PL_NVD2
ethnicitysecond_dose65 plus_non_other,UNMAPPABLE_AGE65PL_NVD2
ethnicitysecond_dose65 plus_not_given_refused,NOTGIVPTREF_AGE65PL_NVD2
ethnicitysecond_dose65 plus_not_recorded,NORECORD_AGE65PL_NVD2
ethnicitysecond_dose65 plus_not_stated,NOTSTATED_AGE65PL_NVD2
ethnicitysecond_dose65 plus_other,OTHER_AGE65PL_NVD2
ethnicitysecond_dose65 plus_white_british,WHIBRIT_AGE65PL_NVD2
ethnicitysecond_dose65 plus_white_irish,WHIIRISH_AGE65PL_NVD2
ethnicitysecond_dose65 plus_white_other,WHIOTHER_AGE65PL_NVD2
gender_riskgroupfirst_dose16 - under 40_F,ATRISK_F_AGE16YR40YR_NVD1
gender_riskgroupfirst_dose16 - under 40_I,ATRISK_GNULL_AGE16YR40YR_NVD1
gender_riskgroupfirst_dose16 - under 40_M,ATRISK_M_AGE16YR40YR_NVD1
gender_riskgroupfirst_dose16 - under 40_U,ATRISK_UG_AGE16YR40YR_NVD1
gender_riskgroupfirst_dose40 - under 50_F,ATRISK_F_AGE40YR50YR_NVD1
gender_riskgroupfirst_dose40 - under 50_I,ATRISK_GNULL_AGE40YR50YR_NVD1
gender_riskgroupfirst_dose40 - under 50_M,ATRISK_M_AGE40YR50YR_NVD1
gender_riskgroupfirst_dose40 - under 50_U,ATRISK_UG_AGE40YR50YR_NVD1
gender_riskgroupfirst_dose50 - under 65_F,ATRISK_F_AGE50YR65YR_NVD1
gender_riskgroupfirst_dose50 - under 65_I,ATRISK_GNULL_AGE50YR65YR_NVD1
gender_riskgroupfirst_dose50 - under 65_M,ATRISK_M_AGE50YR65YR_NVD1
gender_riskgroupfirst_dose50 - under 65_U,ATRISK_UG_AGE50YR65YR_NVD1
gender_riskgroupfirst_dose65 - under 75_F,ATRISK_F_AGE65YR75YR_NVD1
gender_riskgroupfirst_dose65 - under 75_I,ATRISK_GNULL_AGE65YR75YR_NVD1
gender_riskgroupfirst_dose65 - under 75_M,ATRISK_M_AGE65YR75YR_NVD1
gender_riskgroupfirst_dose65 - under 75_U,ATRISK_UG_AGE65YR75YR_NVD1
gender_riskgroupfirst_dose75 plus_F,ATRISK_F_AGE75PL_NVD1
gender_riskgroupfirst_dose75 plus_I,ATRISK_GNULL_AGE75PL_NVD1
gender_riskgroupfirst_dose75 plus_M,ATRISK_M_AGE75PL_NVD1
gender_riskgroupfirst_dose75 plus_U,ATRISK_UG_AGE75PL_NVD1
gender_riskgrouppopulation16 - under 40_F,ATRISK_F_AGE16YR40YR_TP
gender_riskgrouppopulation16 - under 40_I,ATRISK_GNULL_AGE16YR40YR_TP
gender_riskgrouppopulation16 - under 40_M,ATRISK_M_AGE16YR40YR_TP
gender_riskgrouppopulation16 - under 40_U,ATRISK_UG_AGE16YR40YR_TP
gender_riskgrouppopulation40 - under 50_F,ATRISK_F_AGE40YR50YR_TP
gender_riskgrouppopulation40 - under 50_I,ATRISK_GNULL_AGE40YR50YR_TP
gender_riskgrouppopulation40 - under 50_M,ATRISK_M_AGE40YR50YR_TP
gender_riskgrouppopulation40 - under 50_U,ATRISK_UG_AGE40YR50YR_TP
gender_riskgrouppopulation50 - under 65_F,ATRISK_F_AGE50YR65YR_TP
gender_riskgrouppopulation50 - under 65_I,ATRISK_GNULL_AGE50YR65YR_TP
gender_riskgrouppopulation50 - under 65_M,ATRISK_M_AGE50YR65YR_TP
gender_riskgrouppopulation50 - under 65_U,ATRISK_UG_AGE50YR65YR_TP
gender_riskgrouppopulation65 - under 75_F,ATRISK_F_AGE65YR75YR_TP
gender_riskgrouppopulation65 - under 75_I,ATRISK_GNULL_AGE65YR75YR_TP
gender_riskgrouppopulation65 - under 75_M,ATRISK_M_AGE65YR75YR_TP
gender_riskgrouppopulation65 - under 75_U,ATRISK_UG_AGE65YR75YR_TP
gender_riskgrouppopulation75 plus_F,ATRISK_F_AGE75PL_TP
gender_riskgrouppopulation75 plus_I,ATRISK_GNULL_AGE75PL_TP
gender_riskgrouppopulation75 plus_M,ATRISK_M_AGE75PL_TP
gender_riskgrouppopulation75 plus_U,ATRISK_UG_AGE75PL_TP
gender_riskgroupsecond_dose16 - under 40_F,ATRISK_F_AGE16YR40YR_NVD2
gender_riskgroupsecond_dose16 - under 40_I,ATRISK_GNULL_AGE16YR40YR_NVD2
gender_riskgroupsecond_dose16 - under 40_M,ATRISK_M_AGE16YR40YR_NVD2
gender_riskgroupsecond_dose16 - under 40_U,ATRISK_UG_AGE16YR40YR_NVD2
gender_riskgroupsecond_dose40 - under 50_F,ATRISK_F_AGE40YR50YR_NVD2
gender_riskgroupsecond_dose40 - under 50_I,ATRISK_GNULL_AGE40YR50YR_NVD2
gender_riskgroupsecond_dose40 - under 50_M,ATRISK_M_AGE40YR50YR_NVD2
gender_riskgroupsecond_dose40 - under 50_U,ATRISK_UG_AGE40YR50YR_NVD2
gender_riskgroupsecond_dose50 - under 65_F,ATRISK_F_AGE50YR65YR_NVD2
gender_riskgroupsecond_dose50 - under 65_I,ATRISK_GNULL_AGE50YR65YR_NVD2
gender_riskgroupsecond_dose50 - under 65_M,ATRISK_M_AGE50YR65YR_NVD2
gender_riskgroupsecond_dose50 - under 65_U,ATRISK_UG_AGE50YR65YR_NVD2
gender_riskgroupsecond_dose65 - under 75_F,ATRISK_F_AGE65YR75YR_NVD2
gender_riskgroupsecond_dose65 - under 75_I,ATRISK_GNULL_AGE65YR75YR_NVD2
gender_riskgroupsecond_dose65 - under 75_M,ATRISK_M_AGE65YR75YR_NVD2
gender_riskgroupsecond_dose65 - under 75_U,ATRISK_UG_AGE65YR75YR_NVD2
gender_riskgroupsecond_dose75 plus_F,ATRISK_F_AGE75PL_NVD2
gender_riskgroupsecond_dose75 plus_I,ATRISK_GNULL_AGE75PL_NVD2
gender_riskgroupsecond_dose75 plus_M,ATRISK_M_AGE75PL_NVD2
gender_riskgroupsecond_dose75 plus_U,ATRISK_UG_AGE75PL_NVD2
genderfirst_dose16 - under 40_F,F_AGE16YR40YR_NVD1
genderfirst_dose16 - under 40_I,GNULL_AGE16YR40YR_NVD1
genderfirst_dose16 - under 40_M,M_AGE16YR40YR_NVD1
genderfirst_dose16 - under 40_U,UG_AGE16YR40YR_NVD1
genderfirst_dose40 - under 50_F,F_AGE40YR50YR_NVD1
genderfirst_dose40 - under 50_I,GNULL_AGE40YR50YR_NVD1
genderfirst_dose40 - under 50_M,M_AGE40YR50YR_NVD1
genderfirst_dose40 - under 50_U,UG_AGE40YR50YR_NVD1
genderfirst_dose50 - under 65_F,F_AGE50YR65YR_NVD1
genderfirst_dose50 - under 65_I,GNULL_AGE50YR65YR_NVD1
genderfirst_dose50 - under 65_M,M_AGE50YR65YR_NVD1
genderfirst_dose50 - under 65_U,UG_AGE50YR65YR_NVD1
genderfirst_dose65 - under 75_F,F_AGE65YR75YR_NVD1
genderfirst_dose65 - under 75_I,GNULL_AGE65YR75YR_NVD1
genderfirst_dose65 - under 75_M,M_AGE65YR75YR_NVD1
genderfirst_dose65 - under 75_U,UG_AGE65YR75YR_NVD1
genderfirst_dose75 plus_F,F_AGE75PL_NVD1
genderfirst_dose75 plus_I,GNULL_AGE75PL_NVD1
genderfirst_dose75 plus_M,M_AGE75PL_NVD1
genderfirst_dose75 plus_U,UG_AGE75PL_NVD1
genderpopulation16 - under 40_F,F_AGE16YR40YR_TP
genderpopulation16 - under 40_I,GNULL_AGE16YR40YR_TP
genderpopulation16 - under 40_M,M_AGE16YR40YR_TP
genderpopulation16 - under 40_U,UG_AGE16YR40YR_TP
genderpopulation40 - under 50_F,F_AGE40YR50YR_TP
genderpopulation40 - under 50_I,GNULL_AGE40YR50YR_TP
genderpopulation40 - under 50_M,M_AGE40YR50YR_TP
genderpopulation40 - under 50_U,UG_AGE40YR50YR_TP
genderpopulation50 - under 65_F,F_AGE50YR65YR_TP
